PO_NO,PL_NO,DLVRY_START_DT,DLVRY_END_DT,DLVRY_QTY,DROP_FLAG,EXTND_DP,RNOTE_QTY,IMMS_PO_SR
BP180046,MLLNZ6,21-06-18,06-07-18,600,N,06-07-18,0,
BP180047,ML60430,25-06-18,10-07-18,3000,N,10-07-18,0,
BP180048,ML64120,25-06-18,10-07-18,11700,N,10-07-18,0,
BP180049,MLAZ50,25-06-18,10-07-18,1400,N,10-07-18,0,
BP180050,MLCHMW,25-06-18,10-07-18,450,N,10-07-18,0,
BP180051,MLPR10,25-06-18,10-07-18,5000,N,10-07-18,0,
BP180052,MLMOXE,25-06-18,10-07-18,230,N,10-07-18,0,
BP180053,MLCMEP,25-06-18,10-07-18,7500,N,10-07-18,0,
BP180054,MLGZID,25-06-18,10-07-18,2100,N,10-07-18,0,
BP180055,MLTMZT,25-06-18,10-07-18,1600,N,10-07-18,0,
BP180056,MLANA1,27-06-18,12-07-18,250,N,12-07-18,0,
BP180057,MLATR25,29-06-18,14-07-18,2400,N,14-07-18,0,
BP180058,MLPLPR,29-06-18,14-07-18,15,N,14-07-18,0,
BP180059,MLFCDN,02-07-18,17-07-18,180,N,17-07-18,0,
BP180060,ML60060,02-07-18,17-07-18,3500,N,17-07-18,0,
BP180061,MLDRON,02-07-18,17-07-18,9000,N,17-07-18,0,
BP180062,MLSFI2,02-07-18,17-07-18,20,N,17-07-18,0,
BP180063,MLSFI,02-07-18,17-07-18,60,N,17-07-18,0,
BP180064,MLMET7,02-07-18,17-07-18,6800,N,17-07-18,0,
BP180065,MLRF550,02-07-18,17-07-18,750,N,17-07-18,0,
BP180066,MLBR2ED,05-07-18,20-07-18,20,N,20-07-18,0,
BP180067,MLFLV,05-07-18,20-07-18,400,N,20-07-18,0,
BP180068,MLDW,05-07-18,20-07-18,1600,N,20-07-18,0,
BP180069,MLENZS,07-07-18,22-07-18,230,N,22-07-18,0,
BP180070,ML71150,09-07-18,24-07-18,9700,N,24-07-18,0,
BP180072,MLNMZ2,10-07-18,25-07-18,3000,N,25-07-18,0,
BP180073,MLSBI100,23-07-18,07-08-18,70,N,07-08-18,0,
BP180074,MLBTED,30-07-18,14-08-18,25,N,14-08-18,0,
BP180075,MLNEBP,26-07-18,10-08-18,60,N,10-08-18,0,
BP180076,MLNEBA,26-07-18,10-08-18,75,N,10-08-18,0,
BP180077,MLLSRPT,26-07-18,10-08-18,15000,N,10-08-18,0,
BP180078,MLMICG,26-07-18,10-08-18,1000,N,10-08-18,0,
BP180079,MLIS100,26-07-18,10-08-18,60,N,10-08-18,0,
BP180080,MLTRP2,26-07-18,10-08-18,3300,N,10-08-18,0,
BP180081,MLPRIT,30-07-18,14-08-18,700,N,14-08-18,0,
BP180082,MLSV400,26-07-18,10-08-18,2500,N,10-08-18,0,
BP180083,MLOLA5,26-07-18,10-08-18,900,N,10-08-18,0,
BP180084,ML62188A,26-07-18,10-08-18,24,N,10-08-18,0,
BP180085,MLSV8,26-07-18,10-08-18,1100,N,10-08-18,0,
BP180086,MLIN10,26-07-18,10-08-18,600,N,10-08-18,0,
BP180087,MLIN10,26-07-18,10-08-18,600,N,10-08-18,0,
BP180088,MLCS05ED,26-07-18,10-08-18,30,N,10-08-18,0,
BP180089,ML80247,26-07-18,10-08-18,2100,N,10-08-18,0,
BP180090,ML80265,26-07-18,10-08-18,600,N,10-08-18,0,
BP180091,MLABZ,26-07-18,10-08-18,500,N,10-08-18,0,
BP180092,MLDSA5,26-07-18,10-08-18,4500,N,10-08-18,0,
BP180093,MLTCL5,26-07-18,10-08-18,550,N,10-08-18,0,
BP180093,MLTCL5,24-09-18,09-10-18,500,N,09-10-18,0,
BP180094,MLTCRL,26-07-18,10-08-18,180,N,10-08-18,0,
BP180094,MLTCRL,24-09-18,09-10-18,180,N,09-10-18,0,
BP180095,ML72481,28-07-18,12-08-18,5600,N,12-08-18,0,
BP180096,MLADHP,28-07-18,12-08-18,80,N,12-08-18,0,
BP180097,MLARMT,28-07-18,12-08-18,200,N,12-08-18,0,
BP180098,MLAZAR,28-07-18,12-08-18,5000,N,12-08-18,0,
BP180099,MLMCN6,28-07-18,12-08-18,800,N,12-08-18,0,
BP180100,ML60694,28-07-18,12-08-18,200,N,12-08-18,0,
BP180101,MLIVSWA,28-07-18,12-08-18,500,N,12-08-18,0,
BP180102,ML62256,28-07-18,12-08-18,2000,N,12-08-18,0,
BP180103,MLCF200,28-07-18,12-08-18,3500,N,12-08-18,0,
BP180104,MLTVT30,28-07-18,12-08-18,30,N,12-08-18,0,
BP180105,MLUD180,28-07-18,12-08-18,30,N,12-08-18,0,
BP180106,MLBSP2.5,30-07-18,14-08-18,1500,N,14-08-18,0,
BP180107,MLFLED,30-07-18,14-08-18,30,N,14-08-18,0,
BP180108,MLPRZPR,30-07-18,14-08-18,3000,N,14-08-18,0,
BP180109,MLVEVO5,30-07-18,14-08-18,15000,N,14-08-18,0,
BP180110,MLVZ,30-07-18,14-08-18,2400,N,14-08-18,0,
BP180111,MLFRIN,01-08-18,16-08-18,4300,N,16-08-18,0,
BP180112,MLLZIN,01-08-18,16-08-18,350,N,16-08-18,0,
BP180113,MLHIS40,01-08-18,16-08-18,41,N,16-08-18,0,
BP180114,MLDP500,01-08-18,16-08-18,800,N,16-08-18,0,
BP180115,MLLVS2,01-08-18,16-08-18,1750,N,16-08-18,0,
BP180116,MLFXS,01-08-18,16-08-18,100,N,16-08-18,0,
BP180117,ML72065,01-08-18,16-08-18,1800,N,16-08-18,0,
BP180118,MLPMPX,01-08-18,16-08-18,200,N,16-08-18,0,
BP180119,MLDOS25,04-08-18,19-08-18,1100,N,19-08-18,0,
BP180120,ML69803,04-08-18,19-08-18,12500,N,19-08-18,0,
BP180121,MLARKL,04-08-18,19-08-18,100,N,19-08-18,0,
BP180122,MLCAR12,04-08-18,19-08-18,300,N,19-08-18,0,
BP180123,MLESD,04-08-18,19-08-18,2000,N,19-08-18,0,
BP180124,MLPIJ,04-08-18,19-08-18,20,N,19-08-18,0,
BP180125,MLTH12.5,04-08-18,19-08-18,5000,N,19-08-18,0,
BP180126,MLFR40,04-08-18,19-08-18,2250,N,19-08-18,0,
BP180127,MLTENMT1,04-08-18,19-08-18,1500,N,19-08-18,0,
BP180128,MLONDI,04-08-18,19-08-18,1600,N,19-08-18,0,
BP180129,MLPE,04-08-18,19-08-18,50,N,19-08-18,0,
BP180130,MLIN1.5,04-08-18,19-08-18,1500,N,19-08-18,0,
BP180131,MLHPEG,04-08-18,19-08-18,25,N,19-08-18,0,
BP180132,MLTT5,04-08-18,19-08-18,150,N,19-08-18,0,
BP180133,MLGPRI,04-08-18,19-08-18,60,N,19-08-18,0,
BP180134,MLHR5,04-08-18,19-08-18,50,N,19-08-18,0,
BP180135,MLCT25,06-08-18,21-08-18,200,N,21-08-18,0,
BP180136,MLT150,06-08-18,21-08-18,500,N,21-08-18,0,
BP180137,MLBCLFT,06-08-18,21-08-18,700,N,21-08-18,0,
BP180138,MLTR300,06-08-18,21-08-18,230,N,21-08-18,0,
BP180139,MLLT250,06-08-18,21-08-18,180,N,21-08-18,0,
BP180140,MLAD10,06-08-18,21-08-18,90,N,21-08-18,0,
BP180141,MLDG2,06-08-18,21-08-18,210,N,21-08-18,0,
BP180142,MLASCL,06-08-18,21-08-18,6000,N,21-08-18,0,
BP180143,MLBCS,08-08-18,23-08-18,600,N,23-08-18,0,
BP180144,MLGBT25,09-08-18,24-08-18,90,N,24-08-18,0,
BP180145,MLCDM2,09-08-18,24-08-18,21,N,24-08-18,0,
BP180146,MLASTH,09-08-18,24-08-18,100,N,24-08-18,0,
BP180147,MLMRTZ15,09-08-18,24-08-18,600,N,24-08-18,0,
BP180148,MLDRP1,13-08-18,28-08-18,6300,N,28-08-18,0,
BP180149,MLKCRT,13-08-18,28-08-18,300,N,28-08-18,0,
BP180150,MLAZ50,13-08-18,28-08-18,600,N,28-08-18,0,
BP180151,MLMLND,16-08-18,31-08-18,100,N,31-08-18,0,
BP180152,MLLIPIVL,17-08-18,01-09-18,1800,N,01-09-18,0,
BP180153,MLFB200R,17-08-18,01-09-18,4080,N,01-09-18,0,
BP180154,MLESP,17-08-18,01-09-18,230,N,01-09-18,0,
BP180155,MLIF100,17-08-18,01-09-18,8,N,01-09-18,0,
BP180156,MLISR75,17-08-18,01-09-18,1200,N,01-09-18,0,
BP180157,MLMT500,17-08-18,01-09-18,9500,N,01-09-18,0,
BP180158,MLTCR2,17-08-18,01-09-18,2400,N,01-09-18,0,
BP180159,MLGMP1,17-08-18,01-09-18,1050,N,01-09-18,0,
BP180160,MLGMP1,17-08-18,01-09-18,1050,N,01-09-18,0,
BP180161,MLSF250R,17-08-18,01-09-18,1350,N,01-09-18,0,
BP180162,MLFF125I,17-08-18,01-09-18,50,N,01-09-18,0,
BP180163,MLLT25,17-08-18,01-09-18,400,N,01-09-18,0,
BP180164,MLT20,17-08-18,01-09-18,3750,N,01-09-18,0,
BP180165,MLBR2ED,17-08-18,01-09-18,21,N,01-09-18,0,
BP180166,MLTCTD80,17-08-18,01-09-18,1100,N,01-09-18,0,
BP180167,ML60010,17-08-18,01-09-18,430,N,01-09-18,0,
BP180168,MLRUSV,17-08-18,01-09-18,4800,N,01-09-18,0,
BP180169,MLMFAT,17-08-18,01-09-18,6000,N,01-09-18,0,
BP180170,ML4000,17-08-18,01-09-18,38,N,01-09-18,0,
BP180171,MLFB200I,17-08-18,01-09-18,80,N,01-09-18,0,
BP180172,MLOZOL,17-08-18,01-09-18,2000,N,01-09-18,0,
BP180173,MLDOXP,20-08-18,04-09-18,2680,N,04-09-18,0,
BP180174,MLDM10,20-08-18,04-09-18,4100,N,04-09-18,0,
BP180175,ML6000,21-08-18,05-09-18,17,N,05-09-18,0,
BP180176,ML6000,21-08-18,05-09-18,16,N,05-09-18,0,
BP180177,MLSI100,21-08-18,05-09-18,60,N,05-09-18,0,
BP180178,MLDG2,21-08-18,05-09-18,56,N,05-09-18,0,
BP180179,MLESTLO,23-08-18,07-09-18,5400,N,07-09-18,0,
BP180180,MLDXF810,04-09-18,19-09-18,125,N,19-09-18,0,
BP180181,MLD1114,04-09-18,19-09-18,125,N,19-09-18,0,
BP180182,MLAL1,04-09-18,19-09-18,9000,N,19-09-18,0,
BP180183,MLGS9,04-09-18,19-09-18,50,N,19-09-18,0,
BP180184,MLDN18,04-09-18,19-09-18,1500,N,19-09-18,0,
BP180185,ML80273,04-09-18,19-09-18,200,N,19-09-18,0,
BP180186,MLPMI,04-09-18,19-09-18,300,N,19-09-18,0,
BP180187,MLSCW5,04-09-18,19-09-18,50,N,19-09-18,0,
BP180188,MLH25,05-09-18,20-09-18,50,N,20-09-18,0,
BP180189,MLPRSG,05-09-18,20-09-18,300,N,20-09-18,0,
BP180190,MLCRD3,05-09-18,20-09-18,3000,N,20-09-18,0,
BP180191,MLCLGT,05-09-18,20-09-18,5000,N,20-09-18,0,
BP180192,MLBC25,05-09-18,20-09-18,500,N,20-09-18,0,
BP180193,MLCIL10,05-09-18,20-09-18,3600,N,20-09-18,0,
BP180194,MLAP,05-09-18,20-09-18,3500,N,20-09-18,0,
BP180195,MLMSLAZ1,05-09-18,20-09-18,120,N,20-09-18,0,
BP180196,MLCLI,05-09-18,20-09-18,200,N,20-09-18,0,
BP180197,MLGZID,05-09-18,20-09-18,3000,N,20-09-18,0,
BP180198,MLDN26,10-09-18,25-09-18,3500,N,25-09-18,0,
BP180199,MLCLZ2,10-09-18,25-09-18,1100,N,25-09-18,0,
BP180200,MLGMP1,10-09-18,25-09-18,5000,N,25-09-18,0,
BP180201,MLCTD6,10-09-18,25-09-18,900,N,25-09-18,0,
BP180202,MLBSP2.5,10-09-18,25-09-18,3300,N,25-09-18,0,
BP180203,MLCTD12,10-09-18,25-09-18,4500,N,25-09-18,0,
BP180204,MLVALG,12-09-18,27-09-18,20,N,27-09-18,0,
BP180205,MLCGC,12-09-18,27-09-18,50,N,27-09-18,0,
BP180206,MLVOVI,15-09-18,30-09-18,1600,N,30-09-18,0,
BP180207,MLGX60,17-09-18,03-10-18,1582,N,03-10-18,0,
BP180208,MLHR5,20-09-18,05-10-18,100,N,05-10-18,0,
BP180209,MLAZAR,20-09-18,05-10-18,14000,N,05-10-18,0,
BP180210,MLALIV,20-09-18,05-10-18,1300,N,05-10-18,0,
BP180211,MLLZIN,20-09-18,05-10-18,500,N,05-10-18,0,
BP180212,MLENZS,20-09-18,05-10-18,200,N,05-10-18,0,
BP180213,MLNV5,20-09-18,05-10-18,2500,N,05-10-18,0,
BP180214,MLFLC5,20-09-18,05-10-18,500,N,05-10-18,0,
BP180215,MLNFT1,20-09-18,05-10-18,1500,N,05-10-18,0,
BP180216,MLFLV1,20-09-18,05-10-18,500,N,05-10-18,0,
BP180217,MLFB,24-09-18,09-10-18,150,N,09-10-18,0,
BP180218,MLCAVT,24-09-18,09-10-18,50000,N,09-10-18,0,
BP180219,MLPLPR,24-09-18,09-10-18,50,N,09-10-18,0,
BP180220,MLUC,24-09-18,09-10-18,1000,N,09-10-18,0,
BP180221,MLDG2,25-09-18,10-10-18,300,N,10-10-18,0,
BP180222,MLMLLC,26-09-18,11-10-18,4800,N,11-10-18,0,
BP180223,MLKBND,26-09-18,11-10-18,190,N,11-10-18,0,
BP180224,MLFD57,29-09-18,14-10-18,300,N,14-10-18,0,
BP180225,MLFD610,29-09-18,14-10-18,300,N,14-10-18,0,
BP180226,MLVALG,01-10-18,16-10-18,30,N,16-10-18,0,
BP180227,MLMD25,01-10-18,16-10-18,40,N,16-10-18,0,
BP180228,ML60694,01-10-18,16-10-18,300,N,16-10-18,0,
BP180229,MLRPSK,01-10-18,16-10-18,2,N,16-10-18,0,
BP180230,MLALDC,01-10-18,16-10-18,2500,N,16-10-18,0,
BP180231,MLSH1,01-10-18,16-10-18,50,N,16-10-18,0,
BP180232,MLEAB,05-10-18,20-10-18,50,N,20-10-18,0,
BP180233,MLTCTD80,08-10-18,23-10-18,900,N,23-10-18,0,
BP180234,MLFVX,10-10-18,25-10-18,600,N,25-10-18,0,
BP180235,MLTFD67,10-10-18,25-10-18,300,N,25-10-18,0,
BP180236,ML62256,10-10-18,25-10-18,2100,N,25-10-18,0,
BP180237,ML74680,10-10-18,25-10-18,900,N,25-10-18,0,
BP180238,MLFGF,10-10-18,25-10-18,10,N,25-10-18,0,
BP180239,MLTVT30,10-10-18,25-10-18,100,N,25-10-18,0,
BP180240,MLLULC,10-10-18,25-10-18,150,N,25-10-18,0,
BP180241,MLUC,15-10-18,30-10-18,2500,N,30-10-18,0,
BP180242,MLCLGT,16-10-18,31-10-18,10000,N,31-10-18,0,
BP180243,MLMT850,16-10-18,31-10-18,9500,N,31-10-18,0,
BP180244,MLVEVO5,16-10-18,31-10-18,50000,N,31-10-18,0,
BP180245,ML76183,16-10-18,31-10-18,50000,N,31-10-18,0,
BP180246,MLHD,16-10-18,31-10-18,100,N,31-10-18,0,
BP180247,MLTRT,25-10-18,10-11-18,18,N,10-11-18,0,
BP180248,MLISPN,05-11-18,19-11-18,2000,N,19-11-18,0,
BP180249,MLOLA5,22-10-18,06-11-18,1000,N,06-11-18,0,
BP180250,MLLBT,22-10-18,06-11-18,5000,N,06-11-18,0,
BP180251,MLIPLS,22-10-18,06-11-18,1000,N,06-11-18,0,
BP180252,MLQTIPT,22-10-18,06-11-18,2000,N,06-11-18,0,
BP180253,MLQTIP5,22-10-18,06-11-18,600,N,06-11-18,0,
BP180254,MLQTP1,22-10-18,06-11-18,500,N,06-11-18,0,
BP180255,MLECH,22-10-18,06-11-18,2,N,06-11-18,0,
BP180256,MLZD10,26-10-18,10-11-18,500,N,10-11-18,0,
BP180257,MLCSAO,29-10-18,13-11-18,200,N,13-11-18,0,
BP180258,MLHP,29-10-18,13-11-18,60,N,13-11-18,0,
BP180259,MLCB,29-10-18,13-11-18,200,N,13-11-18,0,
BP180260,ML60015S,29-10-18,13-11-18,400,N,13-11-18,0,
BP180261,MLP5,29-10-18,13-11-18,7500,N,13-11-18,0,
BP180262,MLLV75,29-10-18,13-11-18,1000,N,13-11-18,0,
BP180263,MLPE,29-10-18,13-11-18,150,N,13-11-18,0,
BP180264,MLDVNZ5,29-10-18,13-11-18,1200,N,13-11-18,0,
BP180265,MLLMT5,29-10-18,13-11-18,500,N,13-11-18,0,
BP180266,MLISX4,29-10-18,13-11-18,1200,N,13-11-18,0,
BP180267,MLORS,31-10-18,15-11-18,1500,N,15-11-18,0,
BP180268,MLPCM,31-10-18,15-11-18,17000,N,15-11-18,0,
BP180269,MLLACP,31-10-18,15-11-18,1200,N,15-11-18,0,
BP180270,MLCALA,31-10-18,15-11-18,1000,N,15-11-18,0,
BP180271,ML72065,31-10-18,15-11-18,3000,N,15-11-18,0,
BP180272,MLPCFM,03-11-18,18-11-18,1,N,18-11-18,0,
BP180273,MLCARM,03-11-18,18-11-18,100,N,18-11-18,0,
BP180274,MLOH40,03-11-18,18-11-18,1500,N,18-11-18,0,
BP180275,MLIVC2,03-11-18,18-11-18,500,N,18-11-18,0,
BP180276,ML60045A,03-11-18,18-11-18,300,N,18-11-18,0,
BP180277,MLCMC5,03-11-18,18-11-18,500,N,18-11-18,0,
BP180278,MLGTPD,03-11-18,18-11-18,50,N,18-11-18,0,
BP180279,MLIS40,03-11-18,18-11-18,1500,N,18-11-18,0,
BP180280,MLLDT15,03-11-18,18-11-18,1000,N,18-11-18,0,
BP180281,MLMPRED4,03-11-18,18-11-18,3600,N,18-11-18,0,
BP180282,MLMP15,03-11-18,18-11-18,250,N,18-11-18,0,
BP180283,ML69813,03-11-18,18-11-18,2500,N,18-11-18,0,
BP180284,MLOLP,03-11-18,18-11-18,50,N,18-11-18,0,
BP180285,MLMOX,03-11-18,18-11-18,10500,N,18-11-18,0,
BP180286,MLHCQ2,03-11-18,18-11-18,4000,N,18-11-18,0,
BP180287,MLDC3,03-11-18,18-11-18,500,N,18-11-18,0,
BP180288,MLVALG,03-11-18,18-11-18,30,N,18-11-18,0,
BP180289,MLMFAT,05-11-18,20-11-18,6000,N,20-11-18,0,
BP180290,MLTFD557,06-11-18,22-11-18,300,N,22-11-18,0,
BP180291,MLDX8,06-11-18,22-11-18,125,N,22-11-18,0,
BP180292,MLDX11,06-11-18,22-11-18,125,N,22-11-18,0,
BP180293,MLDX,06-11-18,22-11-18,125,N,22-11-18,0,
BP180294,MLSV8,13-11-18,28-11-18,1600,N,28-11-18,0,
BP180295,MLLVS2,15-11-18,30-11-18,2000,N,30-11-18,0,
BP180296,MLIN1.5,19-11-18,04-12-18,2000,N,04-12-18,0,
BP180297,MLDELOK,20-11-18,05-12-18,2000,N,05-12-18,0,
BP180298,MLMV200,20-11-18,05-12-18,1000,N,05-12-18,0,
BP180299,MLISM,22-11-18,07-12-18,200,N,07-12-18,0,
BP180300,MLCTS,22-11-18,07-12-18,500,N,07-12-18,0,
BP180301,MLODI,22-11-18,07-12-18,2000,N,07-12-18,0,
BP180302,ML62256,22-11-18,07-12-18,2350,N,07-12-18,0,
BP180303,MLFVX,22-11-18,07-12-18,1000,N,07-12-18,0,
BP180304,MLHPEG,22-11-18,07-12-18,15,N,07-12-18,0,
BP180305,MLARMT,22-11-18,07-12-18,500,N,07-12-18,0,
BP180306,MLLULC,22-11-18,07-12-18,450,N,07-12-18,0,
BP180307,MLORS,22-11-18,07-12-18,3000,N,07-12-18,0,
BP180308,MLEG25,22-11-18,07-12-18,400,N,07-12-18,0,
BP180309,MLHD,22-11-18,07-12-18,60,N,07-12-18,0,
BP180310,ML73043,26-11-18,11-12-18,35000,N,11-12-18,0,
BP180311,MLVALG,27-11-18,12-12-18,30,N,12-12-18,0,
BP180312,ML60057,27-11-18,12-12-18,3200,N,12-12-18,0,
BP180313,MLSTC,27-11-18,12-12-18,200,N,12-12-18,0,
BP180314,MLTRBT,27-11-18,12-12-18,4000,N,12-12-18,0,
BP180315,MLNCR5,27-11-18,12-12-18,4000,N,12-12-18,0,
BP180316,ML72481,27-11-18,12-12-18,14000,N,12-12-18,0,
BP180317,MLDOXP,27-11-18,12-12-18,3000,N,12-12-18,0,
BP180318,MLT20,27-11-18,12-12-18,4000,N,12-12-18,0,
BP180319,MLCIL10,27-11-18,12-12-18,6000,N,12-12-18,0,
BP180320,MLAL1,27-11-18,12-12-18,18000,N,12-12-18,0,
BP180321,MLAT20,30-11-18,15-12-18,20000,N,15-12-18,0,
BP180322,MLTCTD80,30-11-18,15-12-18,1500,N,15-12-18,0,
BP180323,MLMF500,30-11-18,15-12-18,600,N,15-12-18,0,
BP180324,MLRV12,30-11-18,15-12-18,20,N,15-12-18,0,
BP180325,MLOLA5,30-11-18,15-12-18,1000,N,15-12-18,0,
BP180326,MLFRIN,30-11-18,15-12-18,5000,N,15-12-18,0,
BP180327,MLOXCRB,30-11-18,15-12-18,1000,N,15-12-18,0,
BP180328,MLGND65,04-12-18,19-12-18,300,N,19-12-18,0,
BP180329,MLEST2,05-12-18,20-12-18,700,N,20-12-18,0,
BP180330,MLCLB5,05-12-18,20-12-18,1500,N,20-12-18,0,
BP180331,MLISOP,05-12-18,20-12-18,150,N,20-12-18,0,
BP180332,MLCHMOG,05-12-18,20-12-18,250,N,20-12-18,0,
BP180333,MLACTRM,05-12-18,20-12-18,2100,N,20-12-18,0,
BP180334,MLI3070,05-12-18,20-12-18,50,N,20-12-18,0,
BP180335,MLGND7,05-12-18,20-12-18,1000,N,20-12-18,0,
BP180336,MLCLB1,05-12-18,20-12-18,2500,N,20-12-18,0,
BP180337,MLTPR1,05-12-18,20-12-18,600,N,20-12-18,0,
BP180338,MLT15,05-12-18,20-12-18,200,N,20-12-18,0,
BP180339,MLSSDJ2,07-12-18,22-12-18,20,N,22-12-18,0,
BP180340,MLLZIN,07-12-18,22-12-18,750,N,22-12-18,0,
BP180341,MLSTCP,07-12-18,22-12-18,250,N,22-12-18,0,
BP180342,MLTBRT,07-12-18,22-12-18,1000,N,22-12-18,0,
BP180343,MLMFAT,11-12-18,26-12-18,6000,N,26-12-18,0,
BP180344,MLDE210,13-12-18,28-12-18,10,N,28-12-18,0,
BP180345,MLTR375,13-12-18,28-12-18,3,N,28-12-18,0,
BP180346,MLGLU15,20-12-18,04-01-19,15000,N,04-01-19,0,
BP180347,MLTCL5,12-01-19,27-01-19,500,N,27-01-19,0,
BP180348,MLLIN5,12-01-19,27-01-19,470,N,27-01-19,0,
BP180349,MLPG15,18-01-19,02-02-19,18000,N,02-02-19,0,
BP180350,MLTORS,18-01-19,02-02-19,5100,N,02-02-19,0,
BP180351,MLPDWS,18-01-19,02-02-19,72,N,02-02-19,0,
BP180352,ML80290,18-01-19,02-02-19,100,N,02-02-19,0,
BP180353,MLGZID,18-01-19,02-02-19,5400,N,02-02-19,0,
BP180354,MLIRS,18-01-19,02-02-19,700,N,02-02-19,0,
BP180355,MLIVA,18-01-19,02-02-19,900,N,02-02-19,0,
BP180356,MLMT850,18-01-19,02-02-19,15500,N,02-02-19,0,
BP180357,MLOED,18-01-19,02-02-19,800,N,02-02-19,0,
BP180358,MLLBT,18-01-19,02-02-19,21000,N,02-02-19,0,
BP180359,MLCLAV,18-01-19,02-02-19,750,N,02-02-19,0,
BP180360,MLDSC,18-01-19,02-02-19,2000,N,02-02-19,0,
BP180361,MLPI15,18-01-19,02-02-19,600,N,02-02-19,0,
